player_id,name,role, Goals Conceded, Minutes played, Punches,Saves,Throws,Passes,Accurate Passes,Key Passes,goals,assists,chances_created,total_shots,shot_on_target,crosses,long_balls,touches,aerials_won,aerials_lost,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_won,duels_lost,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
450972,Leopold Zingerle,Keeper,0,90,0,4,3,18,14,0,,,,0,0,0,6,28,0,0,2,0,0,0,1,0,0,0,4,1,0,0,0,,,,4.2
673428,Mohamed Dräger,Defender,,90,,,,28,24,1,0,0,0,1,0,1,3,45,0,2,2,1,2,0,1,8,1,1,5,1,1,0,0,,1,,3.8
97727,Christian Strohdiek,Defender,,90,,,,44,33,1,0,0,0,0,0,0,11,59,2,0,5,0,0,0,5,2,0,3,6,3,2,0,0,,,,5.1
35708,Uwe Hünemeier,Defender,,90,,,,50,42,1,1,0,1,2,1,0,8,61,1,1,2,0,1,0,3,4,0,2,9,2,2,0,0,,,,5.8
427059,Jamilu Collins,Defender,,90,,,,38,28,0,0,0,0,0,0,3,3,76,0,0,3,1,4,2,2,4,1,2,4,0,0,0,0,,1,,4.4
445204,Sebastian Schonlau,Defender,,90,,,,55,46,0,0,0,0,0,0,0,4,70,0,0,1,0,2,1,7,5,1,1,10,5,4,1,0,,,,5.1
782361,Christopher Antwi-Adjej,Midfielder,,83,,,,16,10,0,0,0,0,3,0,1,3,26,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,,,5.8
672677,Sebastian Vasiliadis,Midfielder,,83,,,,19,13,1,0,0,0,1,0,0,3,31,0,0,0,2,0,0,1,3,1,2,5,1,0,0,0,1,,,5.8
522139,Dennis Srbeny,Attacker,,66,,,,13,8,1,0,0,0,0,0,1,2,25,0,2,0,0,3,1,6,4,0,0,2,3,1,2,0,1,,,6.4
625091,Gerrit Holtmann,Attacker,,74,,,,17,12,1,0,0,0,2,0,1,2,37,0,0,1,0,5,1,2,5,0,1,6,1,1,0,0,1,,,6.1
423811,Streli Mamba,Attacker,,66,,,,14,10,0,0,0,0,0,0,0,1,21,1,1,0,0,0,0,4,1,0,0,3,3,2,0,0,1,,,6.4
958464,Leonardo Balerdi,Defender,,10,,,,11,9,0,0,0,0,0,0,0,1,15,0,0,0,0,1,0,1,1,0,2,3,1,1,0,1,0,,,6.4
94685,Marcel Schmelzer,Defender,,1,,,,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,
844478,Mateu Morey,Defender,,11,,,,15,13,0,0,0,0,0,0,0,1,18,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,,,6
1071179,Giovanni Reyna,Midfielder,,22,,,,9,9,0,0,0,0,0,0,0,0,15,0,2,0,0,2,1,2,3,0,0,1,0,0,1,1,0,,,6.2
112978,Roman Bürki,Keeper,0,90,0,1,6,19,17,0,,,,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,,,,6.8
13518,Lukasz Piszczek,Defender,,90,,,,66,62,0,0,0,0,1,1,1,5,73,3,1,0,0,1,1,5,2,0,0,7,1,1,0,0,,,,7.3
307021,Emre Can,Midfielder,,90,,,,63,60,0,1,0,0,2,1,0,8,80,2,1,7,1,0,0,3,3,1,3,8,0,0,1,0,,,,8.1
521318,Manuel Akanji,Defender,,90,,,,82,74,1,0,0,0,1,0,0,3,92,3,0,2,0,2,2,6,0,0,0,3,1,1,0,0,,,,7.8
